order_in,Order ID,Order Date,Ship Date,Customer ID,Product ID,Sales,Quantity,Discount,Profit,CoGS,ship_mode_id
1,CA-2016-152156,2016-11-08,2016-11-11,CG-12520,FUR-BO-10001798,261.96,2,0.0,41.9136,220.04639999999998,1
2,CA-2016-152156,2016-11-08,2016-11-11,CG-12520,FUR-CH-10000454,731.94,3,0.0,219.582,512.3580000000001,1
3,CA-2016-138688,2016-06-12,2016-06-16,DV-13045,OFF-LA-10000240,14.62,2,0.0,6.8714,7.748599999999999,1
4,US-2015-108966,2015-10-11,2015-10-18,SO-20335,FUR-TA-10000577,957.5775,5,0.45,-383.031,1340.6085,2
5,US-2015-108966,2015-10-11,2015-10-18,SO-20335,OFF-ST-10000760,22.368,2,0.2,2.5164,19.851599999999998,2
6,CA-2014-115812,2014-06-09,2014-06-14,BH-11710,FUR-FU-10001487,48.86,7,0.0,14.1694,34.6906,2
7,CA-2014-115812,2014-06-09,2014-06-14,BH-11710,OFF-AR-10002833,7.28,4,0.0,1.9656,5.3144,2
8,CA-2014-115812,2014-06-09,2014-06-14,BH-11710,TEC-PH-10002275,907.152,6,0.2,90.7152,816.4368000000001,2
9,CA-2014-115812,2014-06-09,2014-06-14,BH-11710,OFF-BI-10003910,18.504,3,0.2,5.7825,12.721500000000002,2
10,CA-2014-115812,2014-06-09,2014-06-14,BH-11710,OFF-AP-10002892,114.9,5,0.0,34.47,80.43,2
11,CA-2014-115812,2014-06-09,2014-06-14,BH-11710,FUR-TA-10001539,1706.184,9,0.2,85.3092,1620.8748,2
12,CA-2014-115812,2014-06-09,2014-06-14,BH-11710,TEC-PH-10002033,911.424,4,0.2,68.3568,843.0672,2
13,CA-2017-114412,2017-04-15,2017-04-20,AA-10480,OFF-PA-10002365,15.552,3,0.2,5.4432,10.108799999999999,2
14,CA-2016-161389,2016-12-05,2016-12-10,IM-15070,OFF-BI-10003656,407.976,3,0.2,132.5922,275.3838,2
15,US-2015-118983,2015-11-22,2015-11-26,HP-14815,OFF-AP-10002311,68.81,5,0.8,-123.858,192.668,2
16,US-2015-118983,2015-11-22,2015-11-26,HP-14815,OFF-BI-10000756,2.544,3,0.8,-3.816,6.359999999999999,2
17,CA-2014-105893,2014-11-11,2014-11-18,PK-19075,OFF-ST-10004186,665.88,6,0.0,13.3176,652.5624,2
18,CA-2014-167164,2014-05-13,2014-05-15,AG-10270,OFF-ST-10000107,55.5,2,0.0,9.99,45.51,1
19,CA-2014-143336,2014-08-27,2014-09-01,ZD-21925,OFF-AR-10003056,8.56,2,0.0,2.4824,6.0776,1
